input	reference	prediction
Ri rwoch tikaʼ kkiʼyrik rum wu rtun qʼiij	#qum# La fruta se endulza con los rayos del sol	#qum# El animal se ha hecho
Ri rwoch nuxtaʼ xibʼal rkʼixil	#qum# La fruta del nopal tiene mucha espina	#qum# El hombre se ha hecho
Ri aliit kiryqʼuj ri ajkʼaal	#qum# La señorita c uida al bebé	El hombre que no tiene el pelo
Chpom ri yaʼ piʼlik xibʼal xaʼn	#qum# En el agua encharcada hay mucho zancudo	La casa de la mujer se ha ido
Ri tzʼiʼ ktzʼuʼynjik ataq kirkaʼyij wu rxoqʼjowil	#qum# El perro ronronea cuando mira su	El hombre se va a la casa de la mujer
Ataq xojopnik jaqlik chik ri rchiʼ jaay jroq koʼkik elqʼoom	#qum# Cuando llegamos ya estaba abierto la	Nu se levanta el pelo cuando se sale
Ri ajkʼaal xyabʼrik rukʼ xjir	#qum# El niño se enfermo de dearrea	El niño se ha sacado
Ri snik ktij ri rxiʼl leej	#qum# Las hormigas comen la migaja de tortilla	# El niño se ha ido
Ri kiʼ wiqnik ri nima qʼiij areʼ ri qʼus laj taq ixoq	#qum# Los que engalanan la fiesta son las bellas mujeres	#qum# Cuando se ha ido la cama
Ri traas spoqʼpoj rtijik	#qum# El durazno está desabrido	El niño se quedó en la cama
Ri wiqabʼaaq kchuknik chu ri qʼajaʼ	#qum# La sábila es bueno para las quebraduras	#qum# El hombre que se ha hecho
Ri ajkʼa al qal chik xtuʼnik rum wu xsopjik wu rqul	#qum# El bebé ya no pudo mamar porque se le	#qum# El hombre se ha hecho
Qonjeel wu ojkʼolik chu rwoch paxil nkareʼ xaq jnum ri qbʼanbʼaal	#qum# Todos los	# El hombre se ha echado por el hombre se ha echado por el hombre
Ri alaabʼ xwiʼtaj jun kuuk rukʼ ri r chʼaabʼ	#qum# El m uchacho mató una ardilla con su onda	
Ri rchʼeek wtziik xqʼajik ataq xtzaquul jun xaʼk chriij	#qum# La rodilla de mi hermano se quebró cuando le cayó un trozo encima	# El hombre que se le dio la vida
Ri wurbʼal kchʼajchʼtik	#qum# El dor mitorio es limpio	Cuzá que no se ha ido
Ri chʼiichʼ suukʼ xbʼeek pswon	#qum# El carro se fue directo al barranco	Mijo se ha ido
chpom ri uleew kʼiy kʼulbʼat ikʼolik	#qum# En el terreno hay varios muros	# La mujer de la mujer se ha ido
Jumul xtbʼiʼxik ke ri qatz riliil riij areʼ ri nimneem	#qum# Una vez se dice que lo más importante es el respeto	#qum# Cuando se ha hecho el tiro se ha ido
Ri ryaʼl iik tzeytzoj xelik	#qum# El caldo salió medio salado	El hombre que se ha ido a la casa
Ataq kojbʼinik nim tʼuus keʼlik ri qqan	#qum# Cuando caminamos mucho los pies nos	La gente se ha ido de la casa
Ataq xinsol ri kʼaam xinbʼotzʼ chrij jun piʼq	#qum# Cuando desaté la pita es fácil arrollar en un olote	El hombre que se ha ido
Xibʼal rkʼixil ri yeel	#qum# El chichicaste tiene mucha espina	#qum# El hombre se ha puesto en la cama
Pri nimaqʼiij xeʼchuknik kʼeebʼ ulanel	#qum# Para la fiesta trabajaron dos recepcionista	El hombre tiene una hija que se ha hecho
Chke xyoʼqik njeel ri poq chi rbʼanik ri nimaqʼiij	#qum# A ellos les dieron el dinero para hacer la fiesta	# El hombre que se ha puesto en el suelo
Ri wkaaqʼ areʼ jun utz laj achii	#qum# Mi sobrino es un buen hombre	## El hombre se ha hecho un buen trabajo
Ri tzʼuu m likʼmaj rwoch chu uleew	#qum# El cuero estaá extendido en el suelo	El hombre que se ha ido
Rum wu qal tzʼqaat ri rpajbʼaal ri ajkʼeynel sichaʼ xbʼeek pcheʼ	#qum# Por estar	#qum# El hombre se ha hecho
Ri qʼoor qal xqumik kʼten xtewrsxik tekʼchi xjachik	#qum# El atol no se pudo tomar	#qum# El hombre que se ha hecho
Ri wakx jurjik ri raaqʼ La vaca tiene la lengua larga	#qum# Temascal	Cuando se hace el trabajo se hace la
Qal utz xtqyaʼ jun che chqoom ri wnaq kʼa krechbʼeej	#qum# No es bueno prestar algo a alguien porque se adueña	La gente se lo hace cuando se levanta el pelo
Ri tzʼuum ri kʼaʼn chu ri kʼuqulbʼal mixjarik	#qum# El cuero que tiene el sentadero se	# El niño no tiene que tener que hacer el trabajo
Ri achii ataq kir bʼan ri awaʼn kertaqiij ajchaak chu rtoxik	#qum# El hombre cuando siembra busca	# La mujer se ha ido de la casa
Xkmik ri tʼuq laj akʼ	#qum# La gallina clueca se mur ió	El niño no se ve la casa
Ri nchuch xloqʼ jun suʼbʼal qʼabʼ	#qum# Mi mamá compró una servilleta	El niño se ha ido de la casa
Utz xtqsipaj ri poq nuʼj chke ri mebʼaʼ	#qum# es bueno regalar dinero pero a los huérfanos	# El hombre que no se puso en la casa
Ri wchoch rex ri rkaʼybʼaal	#qum# Mi casa es de color v erde	La mujer que se ha ido
Ataq kʼolik muuj chukaaj retal kʼchiʼ kpetik jabʼ	#qum# cuando hay nube en el cielo es seña que	El hombre se ha hecho el hombre que se ha ido
Ri raal kuch xiʼ qajik tiʼt njeel	#qum# Las crías de la marrana que cayero son hembras	El hombre que se ha hecho el tiro
Ri nchuch xproj ri rtkuʼl	#qum# mi mamá lo quemó su paleta	El hombre ha sido herido por la casa
Ri rtibʼliil woy chetzʼini k rtijik	#qum# La comida es bien ssabrosa	#qum# El hombre se ha ido a la
Ataq xojelpoon chu ri ilbʼal qʼus rkaʼyxik ri tinmit	#qum# Cuando salimos al mirador el pueblo se mira bello	El niño se ha hecho el pelo
Wu chʼmaay utz xtktij ri ajkʼlobʼ rech xtkʼobʼik kchoqʼaabʼ	#qum# El guisquil es bueno que	# El hombre se ha hecho con la mano
Ataq xkmol kiibʼ ri aloʼm xkbʼanken jun etzlaal chu ri qtikaʼ	#qum# Cuando se reunieron los	## Los niños se desganaron cuando se fueron a la
Ri wxqʼajlobʼ tarnuul chwij mi compañero viene atrás	#qum# Escuela	# El hombre no se ha hecho el caso de la mujer
Ri ixoq kirjokʼ ri skiil chu kaʼ	#qum# La mujer muele la pepita de ayote en la piedra de moler	El hombre que se ha ido a la casa
Wu musmut utz chi qʼxom kʼuʼxaj	#qum# El ajenjo es bueno para el dolor de estómago	# La casa de la madre está en la tierra
Ri n tatanool nim ri retambʼal	#qum# Mi abuel o posee grandes conocimientos	#qum# El hombre no tiene el pelo
Don Jesus se puso la camisa al revés	#qum# Escama	El hombre que se ha ido de la casa
Ri toch ʼaʼ kirtij ri rwoch nuxtaʼ el jilguero c ome la fruta de la tuna	#qum# Pagar	# El hombre que no se ha ido a la casa
Ri cheʼ pujpik sichaʼ kiryaʼ muʼj	#qum# el árbol es frondoso y da buena sombra	#qum# El niño se ha ido
ataq xinbʼan ri wchoch xinbʼan jun jloom	#qum# Cuando construí mi casa tuve que hacer un préstamo	# El hombre que se ha hecho
Ri saqtbʼiin jurjik wu rjey	#qum# La comadreja tiene la cola larga	El pueblo de la ciudad de la ciudad de la ciudad de la
Kʼa xaq et rchim wu chʼiichʼ xichaʼ qal xchʼij xelbʼik chu wu rujyubʼ	#qum# Por mucha carga el carro no aguantó salir en la subida	# Cuando se desprende la casa se
Ri rchak ri ixoq kirbʼan njeel qʼiij areʼ ri tʼisneem	#qum# El trabajo que hace la mujer todos los	El hombre que se ha ido a la casa
Wu jiiqʼ kiryaʼ che ri ajkʼalobʼ	#qum# La tosferina le da a los niños	El hombre se ha hecho una gran cosa
Ri aliit qʼus rkaʼyxik kukʼ ri ruwaj	#qum# La señorita se ve elegante con sus collares	El hombre se ha ido de la casa
Ataq xkʼisik ri molbʼeem ri aloʼm xiʼ tikrook chu ktzʼulxik ri altom	#qum# Cuando terminó la	El niño no se ha puesto en la cama cuando se ha hecho el
Wu chʼikaʼx xuqkee kchuknik chi siʼ	#qum# La chicharra de pino tambien se usa	El hombre que se ha sacudido
En el techo de la casa hay dos agujeros	#qum# Semana	El hombre que no tiene nada se va a
Ri chaak xaq che rbʼ anik sic haʼ xqtzuntzaj	#qum# El trabajo quedó mal hecho por eso se	El niño se puso en la cama
Aqʼabʼ xelbʼik ri achii chi rawxik ri chnooj	#qum# El hombre salió temprano a sembrar la	# El hombre se ha ido a la casa
Xibʼal xibʼaliibʼ chu ri wiʼtnel	#qum# Hay mucho miedo al asesino Ciprés	#qum# El hombre se ha hecho el
X kʼatik ri rtzʼumil rqʼabʼ ri ixoq	#qum# a la señora se le quemó la piel de la mano	Com la que se le ocurre
Jrubʼ rajlaal ri poq xeʼloq	#qum# Cuanto ascendió la cantidad del dinero	Comodo para el niño
Qaqchee chik ri k ʼ yeej kumu xchupik ri rxoqʼjowil	#qum# Ya no hay venta porque se murió el dueño Bellota de arboles	El hombre que se fue a la casa
Ri ixoq xbʼeek chi rtaqxik qʼaʼtzuy praal cheʼ	#qum# La mujer fue a buscar hongo en la	#qum# La gente no sabe nada
Paqʼiij xoʼkik ri elqʼoom pjaay elqʼnel	#qum# De día ent raron los ladrones en la casa a robar	La gente no se va a la casa
Ri qbʼey xsukʼbʼik kumu xqjnumsaj ri qchoqʼaabʼ	#qum# Nuestro camino se	El hombre se ha hecho el trabajo
Ataq xtzaqik ri ajkʼaal xelul kikʼ pirtzaʼm	#qum# C uando cayó el niño le salió sangre en la nariz	El hombre que no tiene que ser
Ri wochbʼlaal areʼ jun naʼtbʼal qe	#qum# El retrato es algo que nos recuerda	El hombre que se ha ido a la casa
Ataq xi bʼal kqʼiiqʼ ri rwiʼ jaay ktzalbʼik	#qum# Cuando hay mucho aire el techo de la casa	#qum# El hombre se ha ido en el
Ri raal chiij ktuʼnsxik kumu qal xpon rqʼij	#qum# La cria de la oveja lo amamantan porque	# El hombre se ha puesto en el camino para el
Ri yaak xeʼrtij ri raa l akʼ	#qum# El gato de monte se comió todos los pollitos	#qum# El niño se fue a la casa
Ri rkʼoʼxiil ubʼooy kchuknik chu awbʼal	#qum# La	# El hombre que se ha ido a la casa
Ri aliit qal kirkʼut saqsi tzʼeebʼ	#qum# A la muchach a no se le nota que es tartamuda	#qum# La casa está en la tierra
Ri achii xrubʼaaj ri musaat rukʼ ri ubʼ al	#qum# El hombre mató el venado con su	#qum# El hombre que se ha hecho
Ri rchiʼ jaay xpaqʼtjik rum ri rkabʼ rqan	#qum# la puerta de la casa se partió por el temblor	El niño se quedó en la casa de la niña
Ri wnobʼ yuux ri raal	#qum# Mi hernana tiene gemelos	Tonto leche
Ri tzʼiʼ xelul qʼaaqʼ chriij	#qum# Al perro le dio fiebre	Le mandaron a la mujer que se le puso
Ri tatyoox qal chik kirchʼij rjoʼxik ri rsomchiʼ	#qum# El anciano ya no aguanta afeitarse	#qum# El niño se ha ido
Njeel ri ajchaak xeʼyoʼqook chu rpaqʼik ri uleew	#qum# Todos los trabajadores les pusieron a	La gente se ha ido a la casa de los niños
Njeel ri ajchaak xeʼtobʼik chu rmolik ri abʼaj	#qum# T odos los trabajadores ayudaron para juntar la	El hombre se ha ido a la casa
Wu ulee w naʼl xtzʼaqik	#qum# La tierra se tiene que compactar bien	# El hombre tiene que tener el pelo
Ri wix kir qchʼuj ri paan	#qum# El gato le dió un mordisco al pan	# El hombre que se ha ido a la casa
Ataq xojelbʼik qonjeel x qtzʼap ijken ri rchiʼ jaay	#qum# Cerrado	#qum# El hombre se ha hecho
Ri rchʼmeʼy ntatanool xq ʼajik	#qum# El bastó n de mi abuelo se quebró	#qum# El hombre se ha hecho
Ri abʼaʼ bʼantlik rukʼ saqkiiy	#qum# La hamaca está hecha de pita de mecate	La mujer que se ha hecho
¿Cuánto cuesta el sombrero que compró mi mamá en la plaza	#qum# ¿cuándo?	El hombre que se ha ido a la casa
R i achii xelbʼik rukʼ ri rtzʼiʼ chu rtaqxik ri musaat	#qum# El hombre salió con su perro a cazar	Camarada de la mujer
Ri chʼooy xchʼulchʼaʼ ri ixiim	#qum# El ratón ensuscio todo el maíz fracción/ pedazo	#qum# El hombre que se le dio la mano
Njeel ri wnaq nim ri knoʼj sichaʼ utz ikʼolik	#qum# Toda la gente tienen buena ineligencia por eso están bien	El hombre que se ha ido
Ri nchuch xtzaltzaj ri poʼt ri xloqʼ kumu nuchʼ xkanaj chriij	#qum# Mi mamá tuvo que	#qum# El hombre se ha hecho el hombre
Ri keqʼ kiryaʼ ptaq ri rqan swon	#qum# La Guayaba se da en los barrancos	El hombre se puso en la casa de la mujer
Ri kuch xkchʼulchʼaʼ ri kwoy	#qum# Los c erdos ensuciaron la comida	#qum# El hombre que se ha ido
Cuando oímos el río tumbar rápido corrimos	#qum# Bejuquillo	El pueblo de la gente tiene que ser
Ajwiʼ xtpetik jabʼ rukʼ saqbʼuch	#qum# Hoy va llover con granizo	# La mujer se ha puesto en el agua
Ri tzʼiʼ xkbʼalktij kiibʼ rukʼ ri sjiʼl	#qum# El perro se revolcaron con el coyote	#qum# El hombre que se ha ido
Riliil riij ataq xkojwaʼljik xkojtyoxnik chu Ajaw	#qum# Es necesario cuando amanecemos debemos agradecer a Dios	talo por el niño que se le dio la mano
Kqʼoxwik ri nxkin	#qum# Me duele el oído	#qum# La tierra se ha hecho
Ri ntzʼiʼ naqʼtlik kirtij iik	#qum# Mi perro está acostumbrado comer chile	La gente se ha ido a la casa
Ptaq ri rqan swon kiryaʼ xibʼal ri chibʼaʼ	#qum# En los barrancos se da mucho el helecho	#qum# El hombre que no se ha ido
R i ajtʼisnel xwiʼtxik kum ri elqʼoom	#qum# El sastre fue matado por los ladrones	# La gente se ha ido a la casa
Ri ajtiij xbʼ iij chke ri ajtijnel kʼotz kixkʼ olaq	#qum# El maestro dice a los estudiantes que guarden	# El hombre que se ha puesto en la casa
Ataq xeʼriqtjaq ri ixoq juplik bʼanmajken chre	#qum# Cuando le fueron a encontrar a la mujer la	#qum# El hombre que se
La orina apesta mucho cuando hay mucho calor	#qum# Camarón	El niño se siente
Nim ri kaʼy kbʼanik chu ri waʼktbʼal	#qum# Mucha diversión se hizo en el parque	El niño se ha puesto en la cama
Ri yaaj utz xttijxik chke ri ajkʼlobʼ	#qum# El regaño es bueno enseñarles a los niños	# Cuando se hace el trabajo
Wu kuuk xkʼis ri a j chtijik	#qum# La ardilla se terminó de comer los elotes	# El hombre que se ha ido
