input	reference	prediction
#qum# Palo blanco	Ri saqʼuul xaq tqʼaaj kiryaʼ wiʼ, El plátano solo se da en la costa	qum ri rkʼal ri rkʼiʼ
#qum# Ayer en la tarde estuvimos en una reunión	Iwir xqʼeq xojkʼobʼik pjun molbʼeem	qum ri xkʼiij ri rkʼoom
#qum# El niño se debe agarrar de la mano	Ri ajkʼaal riliil rij kyuqxik chu ri rqʼabʼ	qum ri xbʼal ri rkʼaʼbʼal
#qum# El maestro lo mando a serntar al abuelo en la silla	Ri ajtiij xkʼuqbʼaʼ ri tatanool chu teem	qum ri rkʼaʼl ri rkaʼyik
#qum# Todos tomamos atol	Qonjeel qqum qʼoor	qum xbʼanik ri rkaʼaj
#qum# Dentro de un año	A qué hora nos vamos al entierro	qumqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqqq
#qum# Las frutas se ven grandes	Wu loʼn nmaq kkaʼyxik	qum ri rxbʼaal
#qum# El cerdo tiene mucho piojo	Ri kuch xibʼal squkʼ chriij	qum xbʼalxik ri ajkʼeem
#qum# El bebé no aguantó la fiebre	Ri lochʼ qal xchʼij ri qʼaaqʼ xelul chriij	qum rbʼal ri rbʼan
#qum# la señorita cuando viaja en carro le da vómito	Ri aliit ataq kbʼeek pchʼiichʼ kiryaʼ xaʼw chre	qum ri ajkʼabʼ xtzʼalxik
#qum# La gente pelean por el agua	Ri winaq keʼchʼoʼ jnik chrij ri yaʼ	qum ri rbʼaaj
#qum# Mi papá todos los días se mantiene ocupado	Ri wjow njeel qʼiij qal jamlik	qumqʼik riʼ riʼ riʼ riij
#qum# En frente la iglesia	Chu wu jaay rech chʼabʼal kʼolik kʼeebʼ mulmik uleew	qum ri rkʼal ri rchʼabʼ
#qum# el árbol quedó atravesado en el camino	Ri cheʼ qʼeʼlik xk anjik pri bʼeey	qum ri rbʼaal ri rkʼiybʼal
#qum# El color de la oveja es medio negro	Ri chiij qʼeqqʼoj rkaʼybʼaal	qum kʼallik ri rkaʼyxik
#qum# Es necesario cuando tomamos el agua	Riliil riij ataq xtqum ri yaʼ nabʼeey xtrqowsxik	qum, i.e. i.e. i.e. i.e.e. i.e. i.e.e.e.e
#qum# La fruta se endulza con los rayos del sol	Ri rwoch tikaʼ kkiʼyrik rum wu rtun qʼiij	qum kʼiʼl ri rkaʼj ri rchʼaʼ
#qum# La fruta del nopal tiene mucha espina	Ri rwoch nuxtaʼ xibʼal rkʼixil	qum ri rkʼiij ri rbʼal
#qum# La señorita c uida al bebé	Ri aliit kiryqʼuj ri ajkʼaal	qum xbʼalxik ri rbʼanik
#qum# En el agua encharcada hay mucho zancudo	Chpom ri yaʼ piʼlik xibʼal xaʼn	qum ri rbʼanbʼal ri rxʼaqʼal
#qum# El perro ronronea cuando mira su	Ri tzʼiʼ ktzʼuʼynjik ataq kirkaʼyij wu rxoqʼjowil	qum ri xkʼaʼ ri rkaʼyxik
#qum# Cuando llegamos ya estaba abierto la	Ataq xojopnik jaqlik chik ri rchiʼ jaay jroq koʼkik elqʼoom	qum ri ajkʼuʼl ri rkʼoʼl
#qum# El niño se enfermo de dearrea	Ri ajkʼaal xyabʼrik rukʼ xjir	qum ri rkʼoʼbʼik ri rtzʼiʼ
#qum# Las hormigas comen la migaja de tortilla	Ri snik ktij ri rxiʼl leej	qum ri rqʼaal xtzʼiij
#qum# Los que engalanan la fiesta son las bellas mujeres	Ri kiʼ wiqnik ri nima qʼiij areʼ ri qʼus laj taq ixoq	qum ri xbʼeʼl ri rchaʼ
#qum# El durazno está desabrido	Ri traas spoqʼpoj rtijik	qumik ri xbʼajik ri ri rbʼal
#qum# La sábila es bueno para las quebraduras	Ri wiqabʼaaq kchuknik chu ri qʼajaʼ	qum riij xbʼeek
#qum# El bebé ya no pudo mamar porque se le	Ri ajkʼa al qal chik xtuʼnik rum wu xsopjik wu rqul	qum ri rkʼoʼn ri rkʼooq
#qum# Todos los	Qonjeel wu ojkʼolik chu rwoch paxil nkareʼ xaq jnum ri qbʼanbʼaal	qum ri rkaʼbʼanik
#qum# El m uchacho mató una ardilla con su onda	Ri alaabʼ xwiʼtaj jun kuuk rukʼ ri r chʼaabʼ	qum kirbʼal ri rtijnik ri rqʼoʼ
#qum# La rodilla de mi hermano se quebró cuando le cayó un trozo encima	Ri rchʼeek wtziik xqʼajik ataq xtzaquul jun xaʼk chriij	qum ri rbʼalʼal kʼolik ri rchʼuʼl
#qum# El dor mitorio es limpio	Ri wurbʼal kchʼajchʼtik	qum riij xkʼolik ri rkʼooʼ
#qum# El carro se fue directo al barranco	Ri chʼiichʼ suukʼ xbʼeek pswon	qum ri rchʼul ri rchʼul ri chʼool
#qum# En el terreno hay varios muros	chpom ri uleew kʼiy kʼulbʼat ikʼolik	qum ri raal ri rqʼabʼ xbʼanik ri rbʼanik
#qum# Una vez se dice que lo más importante es el respeto	Jumul xtbʼiʼxik ke ri qatz riliil riij areʼ ri nimneem	qum, sexi, sexi, sexi, sexi
#qum# El caldo salió medio salado	Ri ryaʼl iik tzeytzoj xelik	qum ri rbʼoʼj
#qum# Cuando caminamos mucho los pies nos	Ataq kojbʼinik nim tʼuus keʼlik ri qqan	qum ri rchʼik ri rchʼiichʼ
#qum# Cuando desaté la pita es fácil arrollar en un olote	Ataq xinsol ri kʼaam xinbʼotzʼ chrij jun piʼq	qum ri chaʼ ri ajkʼal
#qum# El chichicaste tiene mucha espina	Xibʼal rkʼixil ri yeel	qum ri xtzʼajik ri rbʼal
#qum# Para la fiesta trabajaron dos recepcionista	Pri nimaqʼiij xeʼchuknik kʼeebʼ ulanel	qum ri rkʼoʼj
#qum# A ellos les dieron el dinero para hacer la fiesta	Chke xyoʼqik njeel ri poq chi rbʼanik ri nimaqʼiij	qum.
#qum# Mi sobrino es un buen hombre	Ri wkaaqʼ areʼ jun utz laj achii	qum ri xtzʼoʼn
#qum# El cuero estaá extendido en el suelo	Ri tzʼuu m likʼmaj rwoch chu uleew	qum ri kʼolik ri rqʼabʼ
#qum# Por estar	Rum wu qal tzʼqaat ri rpajbʼaal ri ajkʼeynel sichaʼ xbʼeek pcheʼ	qum riij xtʼaʼ ri rkʼal
#qum# El atol no se pudo tomar	Ri qʼoor qal xqumik kʼten xtewrsxik tekʼchi xjachik	qum ri rkʼaʼn
#qum# Temascal	Ri wakx jurjik ri raaqʼ La vaca tiene la lengua larga	qum ri kʼolik ri rbʼal ri rchʼiʼ
#qum# No es bueno prestar algo a alguien porque se adueña	Qal utz xtqyaʼ jun che chqoom ri wnaq kʼa krechbʼeej	qumehelqʼiʼj
#qum# El cuero que tiene el sentadero se	Ri tzʼuum ri kʼaʼn chu ri kʼuqulbʼal mixjarik	qum ri xbʼeek ri rxʼoʼn
#qum# El hombre cuando siembra busca	Ri achii ataq kir bʼan ri awaʼn kertaqiij ajchaak chu rtoxik	qum wu rchʼiʼj
#qum# La gallina clueca se mur ió	Xkmik ri tʼuq laj akʼ	qum ri rkʼallik ri rqʼabʼ
#qum# Mi mamá compró una servilleta	Ri nchuch xloqʼ jun suʼbʼal qʼabʼ	qum ri rbʼanik rqʼabʼ ri rchʼiʼ
#qum# es bueno regalar dinero pero a los huérfanos	Utz xtqsipaj ri poq nuʼj chke ri mebʼaʼ	qum riij chʼoʼn
#qum# Mi casa es de color v erde	Ri wchoch rex ri rkaʼybʼaal	qum ri xbʼal ri rchʼiʼ
#qum# cuando hay nube en el cielo es seña que	Ataq kʼolik muuj chukaaj retal kʼchiʼ kpetik jabʼ	qum ri xtʼaqik ri rbʼanik ri rchʼiij
#qum# Las crías de la marrana que cayero son hembras	Ri raal kuch xiʼ qajik tiʼt njeel	qum riij xtbʼaqbʼal ri rbʼal
#qum# mi mamá lo quemó su paleta	Ri nchuch xproj ri rtkuʼl	qumbʼ ri rkʼaʼj
#qum# La comida es bien ssabrosa	Ri rtibʼliil woy chetzʼini k rtijik	qum ri xkʼolik ri rqʼiij
#qum# Cuando salimos al mirador el pueblo se mira bello	Ataq xojelpoon chu ri ilbʼal qʼus rkaʼyxik ri tinmit	qum ri rtzʼiʼ
#qum# El guisquil es bueno que	Wu chʼmaay utz xtktij ri ajkʼlobʼ rech xtkʼobʼik kchoqʼaabʼ	qum wu rkʼooqʼik
#qum# Cuando se reunieron los	Ataq xkmol kiibʼ ri aloʼm xkbʼanken jun etzlaal chu ri qtikaʼ	qum ri rqʼoʼqʼik ri rqʼiij
#qum# Escuela	Ri wxqʼajlobʼ tarnuul chwij mi compañero viene atrás	qum ri rkaʼtzʼal ri rbʼal
#qum# La mujer muele la pepita de ayote en la piedra de moler	Ri ixoq kirjokʼ ri skiil chu kaʼ	qum ri xkʼaʼbʼal ri rbʼal
#qum# El ajenjo es bueno para el dolor de estómago	Wu musmut utz chi qʼxom kʼuʼxaj	qum rkʼal ri rkʼaaj
#qum# Mi abuel o posee grandes conocimientos	Ri n tatanool nim ri retambʼal	qum ri rkaʼbʼaʼ
#qum# Escama	Don Jesus se puso la camisa al revés	"qum: ""Treco de la cruz es muy fuerte"""
#qum# Pagar	Ri toch ʼaʼ kirtij ri rwoch nuxtaʼ el jilguero c ome la fruta de la tuna	qumizer (s)
#qum# el árbol es frondoso y da buena sombra	Ri cheʼ pujpik sichaʼ kiryaʼ muʼj	qum ri rbʼanik ri rchʼuʼ
#qum# Cuando construí mi casa tuve que hacer un préstamo	ataq xinbʼan ri wchoch xinbʼan jun jloom	qum, i had to make a loan
#qum# La comadreja tiene la cola larga	Ri saqtbʼiin jurjik wu rjey	qum ri ajbʼaal
#qum# Por mucha carga el carro no aguantó salir en la subida	Kʼa xaq et rchim wu chʼiichʼ xichaʼ qal xchʼij xelbʼik chu wu rujyubʼ	qum ri kʼolik ri rkaʼyxik ri rkaʼyxik
#qum# El trabajo que hace la mujer todos los	Ri rchak ri ixoq kirbʼan njeel qʼiij areʼ ri tʼisneem	qum kʼolik ri rkʼiij
#qum# La tosferina le da a los niños	Wu jiiqʼ kiryaʼ che ri ajkʼalobʼ	qum ri chaak rkʼiʼj
#qum# La señorita se ve elegante con sus collares	Ri aliit qʼus rkaʼyxik kukʼ ri ruwaj	qum kʼiij ri rqʼoʼqʼik
#qum# Cuando terminó la	Ataq xkʼisik ri molbʼeem ri aloʼm xiʼ tikrook chu ktzʼulxik ri altom	qum ri rkʼiʼj xtzʼaʼl
#qum# La chicharra de pino tambien se usa	Wu chʼikaʼx xuqkee kchuknik chi siʼ	qum xbʼiʼj ri xbʼanik ri rkʼajbʼ
#qum# Semana	En el techo de la casa hay dos agujeros	qum rkʼaʼ ri rbʼaʼ ri rkʼolik
#qum# El trabajo quedó mal hecho por eso se	Ri chaak xaq che rbʼ anik sic haʼ xqtzuntzaj	qum xbʼeek ri rkaʼbʼal
#qum# El hombre salió temprano a sembrar la	Aqʼabʼ xelbʼik ri achii chi rawxik ri chnooj	qum ri xtzʼulik
#qum# Hay mucho miedo al asesino Ciprés	Xibʼal xibʼaliibʼ chu ri wiʼtnel	qum ri tziʼl ri rkʼoom
#qum# a la señora se le quemó la piel de la mano	X kʼatik ri rtzʼumil rqʼabʼ ri ixoq	qum ri rkaʼy ri rkaʼyxik
#qum# Cuanto ascendió la cantidad del dinero	Jrubʼ rajlaal ri poq xeʼloq	qum ri rbʼal ri rbʼal
#qum# Ya no hay venta porque se murió el dueño Bellota de arboles	Qaqchee chik ri k ʼ yeej kumu xchupik ri rxoqʼjowil	qum xbʼeem ri ajkʼaal
#qum# La mujer fue a buscar hongo en la	Ri ixoq xbʼeek chi rtaqxik qʼaʼtzuy praal cheʼ	qum wu kʼolik ri rtzʼoʼl
#qum# De día ent raron los ladrones en la casa a robar	Paqʼiij xoʼkik ri elqʼoom pjaay elqʼnel	qum.
#qum# Nuestro camino se	Ri qbʼey xsukʼbʼik kumu xqjnumsaj ri qchoqʼaabʼ	qum kʼiij ri rkaʼxik
#qum# C uando cayó el niño le salió sangre en la nariz	Ataq xtzaqik ri ajkʼaal xelul kikʼ pirtzaʼm	qum. I was a little kid.
#qum# El retrato es algo que nos recuerda	Ri wochbʼlaal areʼ jun naʼtbʼal qe	qum ri aliit
#qum# Cuando hay mucho aire el techo de la casa	Ataq xi bʼal kqʼiiqʼ ri rwiʼ jaay ktzalbʼik	qum kʼolik ri rbʼal
#qum# La cria de la oveja lo amamantan porque	Ri raal chiij ktuʼnsxik kumu qal xpon rqʼij	qum xtzʼaʼnik ri rkaʼy
#qum# El gato de monte se comió todos los pollitos	Ri yaak xeʼrtij ri raa l akʼ	qum xbʼiʼj ri xkʼeem ri rbʼanik
#qum# La	Ri rkʼoʼxiil ubʼooy kchuknik chu awbʼal	qum kʼallik ri ajkʼal
#qum# A la muchach a no se le nota que es tartamuda	Ri aliit qal kirkʼut saqsi tzʼeebʼ	qum ri xbʼal ri rbʼal
#qum# El hombre mató el venado con su	Ri achii xrubʼaaj ri musaat rukʼ ri ubʼ al	qum wu rchʼiʼj ri rchʼiʼj
#qum# la puerta de la casa se partió por el temblor	Ri rchiʼ jaay xpaqʼtjik rum ri rkabʼ rqan	qum kʼolik ri rkʼolik
#qum# Mi hernana tiene gemelos	Ri wnobʼ yuux ri raal	qum ri xbʼal ri rkʼolik ri rqʼal
#qum# Al perro le dio fiebre	Ri tzʼiʼ xelul qʼaaqʼ chriij	qum xbʼal riij xkʼuʼj
#qum# El anciano ya no aguanta afeitarse	Ri tatyoox qal chik kirchʼij rjoʼxik ri rsomchiʼ	qum xbʼan ri rkʼiij
#qum# Todos los trabajadores les pusieron a	Njeel ri ajchaak xeʼyoʼqook chu rpaqʼik ri uleew	qum ri rbʼaʼl ri rkaʼbʼal
#qum# T odos los trabajadores ayudaron para juntar la	Njeel ri ajchaak xeʼtobʼik chu rmolik ri abʼaj	qum ri rbʼaʼbʼal ri rbʼaal
#qum# La tierra se tiene que compactar bien	Wu ulee w naʼl xtzʼaqik	qum ri rkʼoʼj ri rtiʼ
#qum# El gato le dió un mordisco al pan	Ri wix kir qchʼuj ri paan	qum ri rxbʼiij
#qum# Cerrado	Ataq xojelbʼik qonjeel x qtzʼap ijken ri rchiʼ jaay	qum ri rbʼal riij xtzʼoom
#qum# El bastó n de mi abuelo se quebró	Ri rchʼmeʼy ntatanool xq ʼajik	qum wu rjoʼqʼyxik
#qum# La hamaca está hecha de pita de mecate	Ri abʼaʼ bʼantlik rukʼ saqkiiy	qum ri xtzʼiʼj
#qum# ¿cuándo?	¿Cuánto cuesta el sombrero que compró mi mamá en la plaza	qum riij xtzʼaqik
#qum# El hombre salió con su perro a cazar	R i achii xelbʼik rukʼ ri rtzʼiʼ chu rtaqxik ri musaat	qum ri rkaʼ ri rkaʼyukʼ
#qum# El ratón ensuscio todo el maíz fracción/ pedazo	Ri chʼooy xchʼulchʼaʼ ri ixiim	qum xbʼeek ri rqʼiij ri rbʼal
#qum# Toda la gente tienen buena ineligencia por eso están bien	Njeel ri wnaq nim ri knoʼj sichaʼ utz ikʼolik	qum wu rbʼabʼal ri rchʼal
#qum# Mi mamá tuvo que	Ri nchuch xtzaltzaj ri poʼt ri xloqʼ kumu nuchʼ xkanaj chriij	qum utzʼiibʼ xbʼanik
#qum# La Guayaba se da en los barrancos	Ri keqʼ kiryaʼ ptaq ri rqan swon	qum ri kʼolik ri rchʼiʼ ri rchʼiʼ
#qum# Los c erdos ensuciaron la comida	Ri kuch xkchʼulchʼaʼ ri kwoy	qum ri rkaʼbʼaal ri rchʼiʼ
#qum# Bejuquillo	Cuando oímos el río tumbar rápido corrimos	qum ri xtzʼiʼm ri rchʼiʼ
#qum# Hoy va llover con granizo	Ajwiʼ xtpetik jabʼ rukʼ saqbʼuch	qum wu wu rkʼaʼj
#qum# El perro se revolcaron con el coyote	Ri tzʼiʼ xkbʼalktij kiibʼ rukʼ ri sjiʼl	qum ri rkʼaaq
#qum# Es necesario cuando amanecemos debemos agradecer a Dios	Riliil riij ataq xkojwaʼljik xkojtyoxnik chu Ajaw	qum ata
#qum# Me duele el oído	Kqʼoxwik ri nxkin	qum ri rkaʼyxik ri rkʼiij
#qum# Mi perro está acostumbrado comer chile	Ri ntzʼiʼ naqʼtlik kirtij iik	qum kʼaaq xbʼanik ri rqʼiij
#qum# En los barrancos se da mucho el helecho	Ptaq ri rqan swon kiryaʼ xibʼal ri chibʼaʼ	qum ri kʼoʼl ri rkʼolik
#qum# El sastre fue matado por los ladrones	R i ajtʼisnel xwiʼtxik kum ri elqʼoom	qum ri rkaʼtzʼiim
#qum# El maestro dice a los estudiantes que guarden	Ri ajtiij xbʼ iij chke ri ajtijnel kʼotz kixkʼ olaq	qum ri rtijnik ri rqʼiij
#qum# Cuando le fueron a encontrar a la mujer la	Ataq xeʼriqtjaq ri ixoq juplik bʼanmajken chre	qum ri rchʼaal ri rtzʼoʼ
#qum# Camarón	La orina apesta mucho cuando hay mucho calor	qum ri xkʼabʼal
#qum# Mucha diversión se hizo en el parque	Nim ri kaʼy kbʼanik chu ri waʼktbʼal	qum ri rkaʼyxik ri rkaʼy
#qum# El regaño es bueno enseñarles a los niños	Ri yaaj utz xttijxik chke ri ajkʼlobʼ	qum ri rkʼaʼbʼal
#qum# La ardilla se terminó de comer los elotes	Wu kuuk xkʼis ri a j chtijik	qum ri xbʼal ri rxʼaqʼ ri rbʼal
